Ticket;Date;Timezone;Transaction;Details;Instrument;Price;Units;Direction;Spread;Cost;Stop;Loss;Take;Profit;Trailing;Stop;Financing;Commission;P/L;Amount;Balance
7256;01/08/2019;05:29:23;PM;MST;MARKET_IF_TOUCHED_ORDER;CLIENT_ORDER;EUR/AUD;1.597;1;Buy;;;;;;;;;;;
7257;01/08/2019;05:39:44;PM;MST;ORDER_FILL;STOP_LOSS_ORDER;AUD/USD;0.71465;1;Sell;0.0001;;;;0;0;-0.002;;925.91;;
7258;01/08/2019;05:39:44;PM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7259;01/08/2019;06:32:24;PM;MST;ORDER_FILL;TAKE_PROFIT_ORDER;GBP/USD;1.27459;1;Sell;0.0001;;;;0;0;0.0025;;925.91;;
7260;01/08/2019;06:32:24;PM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7261;01/08/2019;07:41:48;PM;MST;ORDER_FILL;STOP_LOSS_ORDER;USD/CAD;1.32266;1;Sell;0.0001;;;;0;0;-0.0015;;925.91;;
7262;01/08/2019;07:41:48;PM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7263;01/08/2019;08:04:03;PM;MST;MARKET_IF_TOUCHED_ORDER;CLIENT_ORDER;USD/CAD;1.322;1;Buy;;;;;;;;;;;
7264;01/09/2019;07:43:13;AM;MST;MARKET_ORDER;CLIENT_ORDER;USD/CHF;;1;Buy;;;;;;;;;;;
7265;01/09/2019;07:43:13;AM;MST;ORDER_FILL;MARKET_ORDER;USD/CHF;0.97529;1;Buy;0.0001;;;;0;0;0;;925.91;;
7266;01/09/2019;07:43:13;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;0.97776;;;;;;;;;;;;;
7267;01/09/2019;07:43:13;AM;MST;STOP_LOSS_ORDER;ON_FILL;;0.97326;;;;;;;;;;;;;
