Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,P/L,Amount,Balance
2479,11/24/2017 07:03:06 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.78000,,,,,,,,,,,
2480,11/24/2017 07:03:27 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2481,11/24/2017 07:03:27 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.74300,,,,,,,,,,,
2482,11/24/2017 07:04:10 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2483,11/24/2017 07:04:10 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.73100,,,,,,,,,,,
2484,11/24/2017 07:04:49 AM,PST,ORDER_FILL,TAKE_PROFIT_ORDER,GBP/JPY,148.73300,602,Sell,,,,,-0.00590,0.0000,2.17790,,4495.68
2485,11/24/2017 07:05:26 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2486,11/24/2017 07:05:26 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,149.03100,,,,,,,,,,,
2487,11/24/2017 07:19:18 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2488,11/24/2017 07:19:18 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,149.05800,,,,,,,,,,,
2489,11/24/2017 07:21:59 AM,PST,MARKET_ORDER,CLIENT_ORDER,NZD/CHF,,1200,Buy,,,,,,,,,
2490,11/24/2017 07:21:59 AM,PST,ORDER_FILL,MARKET_ORDER,NZD/CHF,0.67442,1200,Buy,,,,,0.00000,0.0000,0.00000,,4495.68
2491,11/24/2017 07:21:59 AM,PST,TAKE_PROFIT_ORDER,ON_FILL,,0.67647,,,,,,,,,,,
2492,11/24/2017 07:41:36 AM,PST,MARKET_ORDER,CLIENT_ORDER,EUR/JPY,,1000,Sell,,,,,,,,,
2493,11/24/2017 07:41:36 AM,PST,ORDER_FILL,MARKET_ORDER,EUR/JPY,132.90400,1000,Sell,,,,,0.00000,0.0000,0.00000,,4495.68
2494,11/24/2017 07:41:36 AM,PST,TAKE_PROFIT_ORDER,ON_FILL,,132.70400,,,,,,,,,,,
2495,11/24/2017 08:00:13 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2496,11/24/2017 08:00:13 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,149.17800,,,,,,,,,,,
2497,11/24/2017 08:00:42 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2498,11/24/2017 08:00:42 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,149.25100,,,,,,,,,,,
